pe,puerta pulache,Puerta Pulache,20,,-4.7269444,-80.1913889
id,sawahluhur,Sawahluhur,30,,-7.0465,108.4955
ir,hitok,Hitok,04,,27.3086,62.4105
ro,segerhat,Segerhat,02,,46.216667,21.15
ru,novoye altybayevo,Novoye Altybayevo,08,,55.76944,55.014287
gq,mesia,Mesiá,07,,2.15,10.9833333
id,cot me,Cot Me,01,,5.1655,97.0331
pl,czechel,Czechel,86,,51.790589,17.924628
ng,koton karifi,Koton Karifi,41,,8.1,6.8
cn,beizhe,Beizhe,07,,23.904545,117.180579
ir,lali emil,Lali Emil,15,,32.2716,48.9985
ru,khutor,Khutor,38,,46.4,38.5
ir,heydarkanlu,Heydarkanlu,33,,39.082,46.8789
om,al mabrak,Al Mabrak,07,,26.1491667,56.3058333
za,pearly beach,Pearly Beach,11,,-34.66277,19.496474
ru,machikhino,Machikhino,69,,55.537789,34.386717
co,el alisal,El Alisal,29,,3.466033,-76.364478
sn,diam lali,Diam Lali,04,,15.6833333,-14.0333333
us,clear creek,Clear Creek,NY,,42.2208333,-79.0605556
id,petakeang,Petakeang,41,,-2.852,118.8699
ir,jowmian,Jowmian,41,,32.794167,58.8975
do,cayacoa,Cayacoa,32,,19.0,-69.8166667
in,rainlaguda,Rainlaguda,02,,17.627778,78.443333
cn,shengbei,Shengbei,03,,25.6225,115.288333
mx,camichines,Camichines,14,,20.1,-104.033333
ba,gornja mededa,Gornja Mededa,01,,44.7972222,18.3402778
ir,maleh shabanan,Maleh Shabanan,23,,33.518,48.1821
ro,valea porcului,Valea Porcului,11,,45.466667,26.65
ma,najat,Najat,55,,30.28,-9.2
iq,hamam al `alil,Hamam al `Alil,15,,36.1663889,43.2569444
jp,honjo,Honjo,44,,38.751389,140.521111
id,serangkongsi,Serangkongsi,30,,-6.353056,107.118611
kz,uzunbulak,Uzunbulak,01,,43.158889,79.010556
se,tingstad,Tingstad,16,,58.166667,14.65
kp,ugoktong,Ugoktong,07,,38.3077778,126.7627778
ht,saint-jean,Saint-Jean,10,,19.6,-71.75
id,baru,Baru,18,,-8.2963,120.3426
tr,yildirim beyazit,Yildirim Beyazit,68,,39.952103,32.860962
cn,danankeng,Danankeng,30,,22.807641,114.901129
id,tolitoli,Tolitoli,38,,-4.8495,119.5162
pl,rudkowszczyzna,Rudkowszczyzna,81,,53.636027,23.090524
ru,reynik,Reynik,67,,51.498696,45.876915
cn,majiawan,Majiawan,26,,32.92,107.956667
cz,ceprovice,Ceprovice,79,,49.155211,13.974365
af,loranj,Loranj,05,,35.393999,67.576697
fr,maumusson,Maumusson,B5,,47.482144,-1.105592
cn,yiduyang,Yiduyang,19,,41.042167,122.725777
eg,nag` el shatb el saghir,Nag` el Shatb el Sâghir,16,,24.4166667,32.9333333
vn,my hoa thuong,My Hoa Thuong,04,,17.716667,106.45
th,ban tamyae,Ban Tamyae,77,,15.666028,104.835778
